CustomerKey,Full Name,Gender,DateFirstPurchase,City,State,Country
11000,Jon Yang,Male,19-01-2018,Rockhampton,Queensland,Australia
11001,Eugene Huang,Male,15-01-2018,Seaford,Victoria,Australia
11002,Ruben Torres,Male,07-01-2018,Hobart,Tasmania,Australia
11003,Christy Zhu,Female,29-12-2017,North Ryde,New South Wales,Australia
11004,Elizabeth Johnson,Female,23-01-2018,Wollongong,New South Wales,Australia
11005,Julio Ruiz,Male,30-12-2017,East Brisbane,Queensland,Australia
11006,Janet Alvarez,Female,24-01-2018,Matraville,New South Wales,Australia
11007,Marco Mehta,Male,09-01-2018,Warrnambool,Victoria,Australia
11008,Rob Verhoff,Female,25-01-2018,Bendigo,Victoria,Australia
11009,Shannon Carlson,Male,27-01-2018,Hervey Bay,Queensland,Australia
11010,Jacquelyn Suarez,Female,14-01-2018,East Brisbane,Queensland,Australia
11011,Curtis Lu,Male,30-12-2017,East Brisbane,Queensland,Australia
11012,Lauren Walker,Female,16-03-2020,Bremerton,Washington,United States
11013,Ian Jenkins,Male,13-04-2020,Lebanon,Oregon,United States
11014,Sydney Bennett,Female,23-03-2020,Redmond,Washington,United States
11015,Chloe Young,Female,18-01-2020,Burbank,California,United States
11016,Wyatt Hill,Male,09-02-2020,Imperial Beach,California,United States
11017,Shannon Wang,Female,12-01-2018,Sunbury,Victoria,Australia
11018,Clarence Rai,Male,17-01-2018,Bendigo,Victoria,Australia
11019,Luke Lal,Male,12-02-2020,Langley,British Columbia,Canada
11020,Jordan King,Male,29-12-2019,Metchosin,British Columbia,Canada
11021,Destiny Wilson,Female,23-01-2020,Beaverton,Oregon,United States
11022,Ethan Zhang,Male,20-01-2020,Bellingham,Washington,United States
11023,Seth Edwards,Male,17-02-2020,Bellflower,California,United States
11024,Russell Xie,Male,27-06-2020,Concord,California,United States
11025,Alejandro Beck,Male,06-01-2018,Hawthorne,Queensland,Australia
11026,Harold Sai,Male,23-01-2018,Goulburn,New South Wales,Australia
11027,Jessie Zhao,Male,16-01-2018,Warrnambool,Victoria,Australia
11028,Jill Jimenez,Female,26-01-2018,St. Leonards,New South Wales,Australia
11029,Jimmy Moreno,Male,19-01-2018,Bendigo,Victoria,Australia
11030,Bethany Yuan,Female,05-02-2018,Cloverdale,South Australia,Australia
11031,Theresa Ramos,Female,01-02-2018,Matraville,New South Wales,Australia
11032,Denise Stone,Female,18-02-2018,Melbourne,Victoria,Australia
11033,Jaime Nath,Male,15-02-2018,Milsons Point,New South Wales,Australia
11034,Ebony Gonzalez,Female,01-02-2018,North Sydney,New South Wales,Australia
11035,Wendy Dominguez,Female,06-02-2018,Cranbourne,Victoria,Australia
11036,Jennifer Russell,Female,22-01-2020,National City,California,United States
11037,Chloe Garcia,Female,20-01-2020,Cliffside,British Columbia,Canada
11038,Diana Hernandez,Female,07-02-2018,Lavender Bay,New South Wales,Australia
11039,Marc Martin,Male,07-02-2018,Wollongong,New South Wales,Australia
11040,Jesse Murphy,Male,03-04-2020,Tacoma,Washington,United States
11041,Amanda Carter,Female,14-01-2020,Glendale,California,United States
11042,Megan Sanchez,Female,21-01-2020,Los Angeles,California,United States
11043,Nathan Simmons,Male,08-05-2020,Glendale,California,United States
11044,Adam Flores,Male,28-02-2018,Hervey Bay,Queensland,Australia
11045,Leonard Nara,Male,10-04-2020,Matraville,New South Wales,Australia
11046,Christine Yuan,Female,06-02-2018,Lavender Bay,New South Wales,Australia
11047,Jaclyn Lu,Female,03-02-2018,Geelong,Victoria,Australia
11048,Jeremy Powell,Male,10-02-2018,Sunbury,Victoria,Australia
11049,Carol Rai,Female,09-03-2020,Chula Vista,California,United States
11050,Alan Zheng,Male,20-02-2018,Hobart,Tasmania,Australia
11051,Daniel Johnson,Male,29-12-2020,Caloundra,Queensland,Australia
11052,Heidi Lopez,Female,17-02-2018,Matraville,New South Wales,Australia
11053,Ana Price,Female,17-01-2020,San Diego,California,United States
11054,Deanna Munoz,Female,03-02-2018,Geelong,Victoria,Australia
11055,Gilbert Raje,Male,31-01-2018,East Brisbane,Queensland,Australia
11056,Michele Nath,Female,26-02-2018,Newcastle,New South Wales,Australia
11057,Carl Andersen,Male,22-02-2018,Lane Cove,New South Wales,Australia
11058,Marc Diaz,Male,09-03-2018,Findon,South Australia,Australia
11059,Ashlee Andersen,Female,18-02-2020,Townsville,Queensland,Australia
11060,Jon Zhou,Male,19-03-2018,Warrnambool,Victoria,Australia
11061,Todd Gao,Male,13-03-2018,Gold Coast,Queensland,Australia
11062,Noah Powell,Male,07-01-2020,Portland,Oregon,United States
11063,Angela Murphy,Female,12-01-2020,Redmond,Washington,United States
11064,Chase Reed,Male,25-01-2020,Downey,California,United States
11065,Jessica Henderson,Female,10-02-2020,La Jolla,California,United States
11066,Grace Butler,Female,31-05-2020,Lebanon,Oregon,United States
11067,Caleb Carter,Male,18-08-2020,Port Orchard,Washington,United States
11068,Tiffany Liang,Female,30-04-2020,Warrnambool,Victoria,Australia
11069,Carolyn Navarro,Female,17-04-2018,Gold Coast,Queensland,Australia
11070,Willie Raji,Male,28-04-2018,Sunbury,Victoria,Australia
11071,Linda Serrano,Female,01-03-2020,Hawthorne,Queensland,Australia
11072,Casey Luo,Female,31-03-2018,St. Leonards,New South Wales,Australia
11073,Amy Ye,Female,23-03-2020,Springwood,New South Wales,Australia
11074,Levi Arun,Male,23-03-2020,Cloverdale,South Australia,Australia
11075,Felicia Jimenez,Female,28-04-2018,Bendigo,Victoria,Australia
11076,Blake Anderson,Male,21-04-2018,Wollongong,New South Wales,Australia
11077,Leah Ye,Female,15-04-2018,Melton,Victoria,Australia
11078,Gina Martin,Female,15-02-2020,Cliffside,British Columbia,Canada
11079,Donald Gonzalez,Male,15-03-2020,Geelong,Victoria,Australia
11080,Damien Chander,Male,10-04-2018,Perth,South Australia,Australia
11081,Savannah Baker,Female,12-02-2020,Concord,California,United States
11082,Angela Butler,Female,22-01-2020,Fremont,California,United States
11083,Alyssa Cox,Female,06-01-2020,Lincoln Acres,California,United States
11084,Lucas Phillips,Male,04-01-2020,Lebanon,Oregon,United States
